年月日,観客数,勝敗,対戦相手,先発投手,試合時間,球場,年,月,日,曜日,降水量の合計(mm),平均気温(℃),スコア(ホーム),スコア(相手),スコア(合計),スコア(差),直前試合のスコア(ホーム),直前試合のスコア(相手),直前試合のスコア(合計),直前試合のスコア(差),直前試合の勝敗,月別平均観客数,日別平均観客数
2009/4/7,24011,○,オリックス,岸,196,西武ドーム,2009,4,7,火,0.0,14.2,8,3,11,5,3,2,7,1,△,17693.64,18786.29
2009/4/8,10001,●,オリックス,石井一,185,西武ドーム,2009,4,8,水,0.0,14.1,2,10,12,-8,8,3,11,5,○,17693.64,17143.54
2009/4/9,9813,○,オリックス,西口,177,西武ドーム,2009,4,9,木,0.0,16.5,13,6,19,7,2,10,12,-8,●,17693.64,18510.93
2009/4/17,15181,●,日本ハム,涌井,200,西武ドーム,2009,4,17,金,5.0,10.8,2,4,6,-2,13,6,19,7,○,17693.64,20806.97
2009/4/18,28525,●,日本ハム,帆足,204,西武ドーム,2009,4,18,土,0.0,13.6,4,6,10,-2,2,4,6,-2,●,17693.64,19713.64
2009/4/19,22315,●,日本ハム,その他,242,西武ドーム,2009,4,19,日,0.0,15.9,6,8,14,-2,4,6,10,-2,●,17693.64,19628.91
2009/4/24,12618,○,ロッテ,涌井,146,西武ドーム,2009,4,24,金,1.5,11.6,3,1,4,2,6,8,14,-2,●,17693.64,18457.52
2009/4/25,23147,●,ロッテ,帆足,185,西武ドーム,2009,4,25,土,52.0,9.8,2,3,5,-1,3,1,4,2,○,17693.64,19019.58
2009/4/26,23647,●,ロッテ,その他,215,西武ドーム,2009,4,26,日,0.0,15.6,5,11,16,-6,2,3,5,-1,●,17693.64,19753.74
2009/4/28,16151,○,ソフトバンク,岸,190,西武ドーム,2009,4,28,火,0.0,12.1,5,4,9,1,5,11,16,-6,●,17693.64,20998.5
2009/4/29,28855,○,ソフトバンク,石井一,176,西武ドーム,2009,4,29,水,0.0,13.4,7,2,9,5,5,4,9,1,○,17693.64,22562.68
2009/4/30,15720,●,ソフトバンク,西口,213,西武ドーム,2009,4,30,木,0.0,15.8,5,8,13,-3,7,2,9,5,○,17693.64,21898.1
2009/5/4,33911,○,楽天,岸,173,西武ドーム,2009,5,4,月,0.0,18.1,8,3,11,5,5,8,13,-3,●,22741.88,22697.37
2009/5/5,33908,●,楽天,石井一,201,西武ドーム,2009,5,5,火,11.5,15.8,3,7,10,-4,8,3,11,5,○,22741.88,23356.53
2009/5/6,31440,●,楽天,西口,210,西武ドーム,2009,5,6,水,27.5,14.5,3,6,9,-3,3,7,10,-4,●,22741.88,19710.77
2009/5/19,18110,●,中日,岸,210,大宮,2009,5,19,火,0.0,19.5,5,7,12,-2,3,6,9,-3,●,22741.88,19628.91
2009/5/20,19203,○,中日,石井一,206,西武ドーム,2009,5,20,水,0.0,21.8,2,1,3,1,5,7,12,-2,●,22741.88,20765.17
2009/5/22,16323,●,DeNA,涌井,193,西武ドーム,2009,5,22,金,0.0,21.3,5,15,20,-10,2,1,3,1,○,22741.88,19673.16
2009/5/23,24471,○,DeNA,帆足,187,西武ドーム,2009,5,23,土,10.0,21.7,10,6,16,4,5,15,20,-10,●,22741.88,21263.5
2009/5/30,33778,△,巨人,帆足,238,西武ドーム,2009,5,30,土,6.5,17.9,2,2,4,0,10,6,16,4,○,22741.88,21898.1
2009/5/31,33173,○,巨人,岸,235,西武ドーム,2009,5,31,日,1.5,18.8,3,2,5,1,2,2,4,0,△,22741.88,21679.45
2009/6/2,16001,○,ヤクルト,その他,179,西武ドーム,2009,6,2,火,0.0,19.0,7,3,10,4,3,2,5,1,○,22359.4,20570.03
2009/6/3,16181,○,ヤクルト,涌井,158,西武ドーム,2009,6,3,水,0.0,19.6,8,1,9,7,7,3,10,4,○,22359.4,21970.81
2009/6/10,29006,○,阪神,涌井,160,西武ドーム,2009,6,10,水,0.0,21.7,4,3,7,1,8,1,9,7,○,22359.4,17777.52
2009/6/11,28371,○,阪神,その他,184,西武ドーム,2009,6,11,木,8.0,19.7,6,5,11,1,4,3,7,1,○,22359.4,21121.18
2009/6/13,33747,○,広島,帆足,171,西武ドーム,2009,6,13,土,0.0,22.2,4,2,6,2,6,5,11,1,○,22359.4,19970.56
2009/6/14,32795,△,広島,岸,279,西武ドーム,2009,6,14,日,1.0,20.7,4,4,8,0,4,2,6,2,○,22359.4,20046.41
2009/6/26,17215,○,ソフトバンク,涌井,172,大宮,2009,6,26,金,0.0,25.1,10,4,14,6,4,4,8,0,△,22359.4,19753.74
2009/6/27,30200,●,ソフトバンク,石井一,204,西武ドーム,2009,6,27,土,0.0,25.3,3,10,13,-7,10,4,14,6,○,22359.4,21138.49
2009/6/28,28238,●,ソフトバンク,その他,207,西武ドーム,2009,6,28,日,13.5,22.0,5,7,12,-2,3,10,13,-7,●,22359.4,20998.5
2009/6/30,11391,●,ロッテ,帆足,260,西武ドーム,2009,6,30,火,3.0,21.9,6,8,14,-2,5,7,12,-2,●,22359.4,21898.1
2009/7/1,11617,○,ロッテ,岸,204,西武ドーム,2009,7,1,水,2.5,21.5,11,6,17,5,6,8,14,-2,●,19106.44,22001.45
2009/7/2,11156,●,ロッテ,西口,342,西武ドーム,2009,7,2,木,3.0,20.3,8,9,17,-1,11,6,17,5,○,19106.44,20570.03
2009/7/7,12525,○,日本ハム,岸,162,西武ドーム,2009,7,7,火,0.0,25.7,6,4,10,2,8,9,17,-1,●,19106.44,18786.29
2009/7/8,13892,○,日本ハム,西口,184,西武ドーム,2009,7,8,水,0.5,25.1,4,3,7,1,6,4,10,2,○,19106.44,17143.54
2009/7/9,12625,○,日本ハム,涌井,206,西武ドーム,2009,7,9,木,1.0,25.9,8,2,10,6,4,3,7,1,○,19106.44,18510.93
2009/7/10,11178,●,オリックス,石井一,199,西武ドーム,2009,7,10,金,0.0,27.0,3,6,9,-3,8,2,10,6,○,19106.44,17777.52
2009/7/11,22516,○,オリックス,その他,270,西武ドーム,2009,7,11,土,0.0,23.3,5,4,9,1,3,6,9,-3,●,19106.44,21121.18
2009/7/12,21334,○,オリックス,帆足,174,西武ドーム,2009,7,12,日,0.0,23.5,3,2,5,1,5,4,9,1,○,19106.44,20345.97
2009/7/14,14790,●,楽天,岸,226,西武ドーム,2009,7,14,火,0.0,26.5,6,8,14,-2,3,2,5,1,○,19106.44,20046.41
2009/7/15,13989,○,楽天,涌井,170,西武ドーム,2009,7,15,水,0.0,28.7,5,0,5,5,6,8,14,-2,●,19106.44,21160.21
2009/7/16,14471,●,楽天,西口,179,西武ドーム,2009,7,16,木,0.0,28.4,1,3,4,-2,5,0,5,5,○,19106.44,20196.04
2009/7/20,20521,○,オリックス,岸,163,西武ドーム,2009,7,20,月,0.0,25.5,4,1,5,3,1,3,4,-2,●,19106.44,20765.17
2009/7/21,13759,○,オリックス,涌井,208,西武ドーム,2009,7,21,火,3.0,21.5,4,2,6,2,4,1,5,3,○,19106.44,20805.45
2009/7/22,13445,●,オリックス,帆足,226,西武ドーム,2009,7,22,水,4.0,22.7,2,4,6,-2,4,2,6,2,○,19106.44,19673.16
2009/8/4,20473,●,日本ハム,涌井,214,大宮,2009,8,4,火,0.0,25.4,1,5,6,-4,2,4,6,-2,●,20720.23,22697.37
2009/8/5,18510,○,日本ハム,石井一,181,西武ドーム,2009,8,5,水,0.0,26.5,5,2,7,3,1,5,6,-4,●,20720.23,23356.53
2009/8/6,19360,●,日本ハム,その他,202,西武ドーム,2009,8,6,木,0.0,26.5,4,7,11,-3,5,2,7,3,○,20720.23,19710.77
