年月日,観客数,試合時間,年,月,日,降水量の合計(mm),平均気温(℃),スコア(ホーム),スコア(相手),スコア(合計),スコア(差),直前試合のスコア(ホーム),直前試合のスコア(相手),直前試合のスコア(合計),直前試合のスコア(差),月別平均観客数,日別平均観客数,勝敗_○,勝敗_●,直前試合の勝敗_○,直前試合の勝敗_●,対戦相手_オリックス,対戦相手_ソフトバンク,対戦相手_ヤクルト,対戦相手_ロッテ,対戦相手_中日,対戦相手_巨人,対戦相手_広島,対戦相手_日本ハム,対戦相手_楽天,対戦相手_阪神,先発投手_今井,先発投手_十亀,先発投手_多和田,先発投手_岸,先発投手_帆足,先発投手_涌井,先発投手_牧田,先発投手_石井一,先発投手_菊池,先発投手_西口,先発投手_野上,球場_大宮,球場_新潟,球場_東京ドーム,球場_皇子山,球場_県営大宮,球場_西武ドーム,球場_那覇,曜日_日,曜日_月,曜日_木,曜日_水,曜日_火,曜日_金
2009/4/7,24011,196,2009,4,7,0.0,14.2,8,3,11,5,3,2,7,1,17693.64,18786.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2009/4/8,10001,185,2009,4,8,0.0,14.1,2,10,12,-8,8,3,11,5,17693.64,17143.54,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/4/9,9813,177,2009,4,9,0.0,16.5,13,6,19,7,2,10,12,-8,17693.64,18510.93,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2009/4/17,15181,200,2009,4,17,5.0,10.8,2,4,6,-2,13,6,19,7,17693.64,20806.97,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2009/4/18,28525,204,2009,4,18,0.0,13.6,4,6,10,-2,2,4,6,-2,17693.64,19713.64,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/4/19,22315,242,2009,4,19,0.0,15.9,6,8,14,-2,4,6,10,-2,17693.64,19628.91,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2009/4/24,12618,146,2009,4,24,1.5,11.6,3,1,4,2,6,8,14,-2,17693.64,18457.52,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2009/4/25,23147,185,2009,4,25,52.0,9.8,2,3,5,-1,3,1,4,2,17693.64,19019.58,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/4/26,23647,215,2009,4,26,0.0,15.6,5,11,16,-6,2,3,5,-1,17693.64,19753.74,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2009/4/28,16151,190,2009,4,28,0.0,12.1,5,4,9,1,5,11,16,-6,17693.64,20998.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2009/4/29,28855,176,2009,4,29,0.0,13.4,7,2,9,5,5,4,9,1,17693.64,22562.68,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/4/30,15720,213,2009,4,30,0.0,15.8,5,8,13,-3,7,2,9,5,17693.64,21898.1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2009/5/4,33911,173,2009,5,4,0.0,18.1,8,3,11,5,5,8,13,-3,22741.88,22697.37,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2009/5/5,33908,201,2009,5,5,11.5,15.8,3,7,10,-4,8,3,11,5,22741.88,23356.53,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2009/5/6,31440,210,2009,5,6,27.5,14.5,3,6,9,-3,3,7,10,-4,22741.88,19710.77,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/5/19,18110,210,2009,5,19,0.0,19.5,5,7,12,-2,3,6,9,-3,22741.88,19628.91,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2009/5/20,19203,206,2009,5,20,0.0,21.8,2,1,3,1,5,7,12,-2,22741.88,20765.17,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/5/22,16323,193,2009,5,22,0.0,21.3,5,15,20,-10,2,1,3,1,22741.88,19673.16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2009/5/23,24471,187,2009,5,23,10.0,21.7,10,6,16,4,5,15,20,-10,22741.88,21263.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/5/30,33778,238,2009,5,30,6.5,17.9,2,2,4,0,10,6,16,4,22741.88,21898.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/5/31,33173,235,2009,5,31,1.5,18.8,3,2,5,1,2,2,4,0,22741.88,21679.45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2009/6/2,16001,179,2009,6,2,0.0,19.0,7,3,10,4,3,2,5,1,22359.4,20570.03,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2009/6/3,16181,158,2009,6,3,0.0,19.6,8,1,9,7,7,3,10,4,22359.4,21970.81,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/6/10,29006,160,2009,6,10,0.0,21.7,4,3,7,1,8,1,9,7,22359.4,17777.52,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2009/6/11,28371,184,2009,6,11,8.0,19.7,6,5,11,1,4,3,7,1,22359.4,21121.18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2009/6/13,33747,171,2009,6,13,0.0,22.2,4,2,6,2,6,5,11,1,22359.4,19970.56,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/6/14,32795,279,2009,6,14,1.0,20.7,4,4,8,0,4,2,6,2,22359.4,20046.41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2009/6/26,17215,172,2009,6,26,0.0,25.1,10,4,14,6,4,4,8,0,22359.4,19753.74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2009/6/27,30200,204,2009,6,27,0.0,25.3,3,10,13,-7,10,4,14,6,22359.4,21138.49,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009/6/28,28238,207,2009,6,28,13.5,22.0,5,7,12,-2,3,10,13,-7,22359.4,20998.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
