年月日,降水量の合計(mm),平均気温(℃)
2009/3/20,2.5,13.0
2009/3/21,0.0,9.6
2009/3/22,2.5,12.4
2009/3/23,0.0,11.2
2009/3/24,0.0,7.4
2009/3/25,4.0,5.9
2009/3/26,0.0,6.1
2009/3/27,0.0,5.3
2009/3/28,0.0,5.8
2009/3/29,0.0,6.8
2009/3/30,0.0,7.8
2009/3/31,0.0,9.3
2009/4/1,7.5,8.1
2009/4/2,0.5,8.6
2009/4/3,0.0,10.5
2009/4/4,0.0,11.5
2009/4/5,0.0,12.1
2009/4/6,0.0,12.7
2009/4/7,0.0,14.2
2009/4/8,0.0,14.1
2009/4/9,0.0,16.5
2009/4/10,0.0,15.7
2009/4/11,0.0,16.8
2009/4/12,0.0,15.5
2009/4/13,0.0,17.2
2009/4/14,24.0,15.7
2009/4/15,2.5,17.6
2009/4/16,0.0,16.0
2009/4/17,5.0,10.8
2009/4/18,0.0,13.6
2009/4/19,0.0,15.9
2009/4/20,0.0,14.9
2009/4/21,25.0,15.5
2009/4/22,0.0,18.1
2009/4/23,0.0,14.5
2009/4/24,1.5,11.6
2009/4/25,52.0,9.8
2009/4/26,0.0,15.6
2009/4/27,0.0,11.8
2009/4/28,0.0,12.1
2009/4/29,0.0,13.4
2009/4/30,0.0,15.8
2009/5/1,0.0,16.9
2009/5/2,0.0,18.2
2009/5/3,0.0,17.9
2009/5/4,0.0,18.1
2009/5/5,11.5,15.8
2009/5/6,27.5,14.5
2009/5/7,7.5,15.0
2009/5/8,14.5,16.3
2009/5/9,0.0,18.8
2009/5/10,0.0,22.0
2009/5/11,0.0,20.6
2009/5/12,0.0,20.5
2009/5/13,0.0,20.1
2009/5/14,0.0,17.0
2009/5/15,0.0,15.4
2009/5/16,0.0,15.5
2009/5/17,2.5,18.6
2009/5/18,0.0,22.2
2009/5/19,0.0,19.5
2009/5/20,0.0,21.8
2009/5/21,0.0,21.9
2009/5/22,0.0,21.3
2009/5/23,10.0,21.7
2009/5/24,2.5,17.6
2009/5/25,0.5,18.3
2009/5/26,0.0,19.7
2009/5/27,0.0,20.1
2009/5/28,30.0,17.0
2009/5/29,38.0,16.2
2009/5/30,6.5,17.9
2009/5/31,1.5,18.8
2009/6/1,0.0,17.7
2009/6/2,0.0,19.0
2009/6/3,0.0,19.6
2009/6/4,0.0,19.9
2009/6/5,5.5,17.9
2009/6/6,9.0,19.2
2009/6/7,0.0,22.2
2009/6/8,2.5,17.5
2009/6/9,0.0,20.2
2009/6/10,0.0,21.7
2009/6/11,8.0,19.7
2009/6/12,0.0,21.1
2009/6/13,0.0,22.2
2009/6/14,1.0,20.7
2009/6/15,20.0,19.5
2009/6/16,25.0,18.5
2009/6/17,0.0,20.2
2009/6/18,0.0,19.4
2009/6/19,0.0,21.9
2009/6/20,0.0,22.2
2009/6/21,11.5,21.9
2009/6/22,3.5,22.6
2009/6/23,1.0,25.8
2009/6/24,20.5,22.6
2009/6/25,0.0,23.2
2009/6/26,0.0,25.1
2009/6/27,0.0,25.3
2009/6/28,13.5,22.0
2009/6/29,0.0,25.1
2009/6/30,3.0,21.9
2009/7/1,2.5,21.5
2009/7/2,3.0,20.3
2009/7/3,2.5,21.5
2009/7/4,2.0,23.5
2009/7/5,0.0,22.7
2009/7/6,7.5,22.0
2009/7/7,0.0,25.7
2009/7/8,0.5,25.1
2009/7/9,1.0,25.9
2009/7/10,0.0,27.0
2009/7/11,0.0,23.3
2009/7/12,0.0,23.5
2009/7/13,0.0,26.5
2009/7/14,0.0,26.5
2009/7/15,0.0,28.7
2009/7/16,0.0,28.4
2009/7/17,10.0,24.3
2009/7/18,0.0,25.7
2009/7/19,0.0,26.7
2009/7/20,0.0,25.5
2009/7/21,3.0,21.5
2009/7/22,4.0,22.7
2009/7/23,17.5,23.5
2009/7/24,36.0,23.9
2009/7/25,1.0,26.6
2009/7/26,0.0,27.9
2009/7/27,7.0,25.1
2009/7/28,8.0,24.8
2009/7/29,0.0,26.4
2009/7/30,0.0,26.6
2009/7/31,4.5,22.5
2009/8/1,0.0,23.7
2009/8/2,19.0,22.5
2009/8/3,0.0,25.2
2009/8/4,0.0,25.4
2009/8/5,0.0,26.5
2009/8/6,0.0,26.5
2009/8/7,48.5,26.3
2009/8/8,0.0,25.3
2009/8/9,1.5,26.0
2009/8/10,46.5,25.9
2009/8/11,0.5,25.7
2009/8/12,0.0,25.9
2009/8/13,0.0,27.3
2009/8/14,0.0,27.7
2009/8/15,0.0,26.1
2009/8/16,0.0,26.3
2009/8/17,0.0,25.5
2009/8/18,0.0,25.9
2009/8/19,0.0,25.7
2009/8/20,0.0,26.0
2009/8/21,0.0,26.0
2009/8/22,6.5,26.8
2009/8/23,0.0,24.8
2009/8/24,5.0,24.2
2009/8/25,0.0,23.3
2009/8/26,0.0,22.9
2009/8/27,0.0,23.9
2009/8/28,0.0,25.2
2009/8/29,8.5,26.1
2009/8/30,10.5,22.2
2009/8/31,67.5,18.8
2009/9/1,0.0,24.6
2009/9/2,0.0,20.3
2009/9/3,0.0,21.0
2009/9/4,1.5,20.8
2009/9/5,0.0,23.1
2009/9/6,0.0,23.6
2009/9/7,0.0,23.6
2009/9/8,0.0,24.2
2009/9/9,0.0,21.3
2009/9/10,0.0,21.1
2009/9/11,0.0,21.5
2009/9/12,1.5,19.6
2009/9/13,0.0,22.1
2009/9/14,0.0,21.4
2009/9/15,0.0,19.8
2009/9/16,0.0,23.2
2009/9/17,0.0,21.2
2009/9/18,0.0,19.5
2009/9/19,0.0,20.7
2009/9/20,0.0,22.0
2009/9/21,0.0,19.3
2009/9/22,0.0,21.5
2009/9/23,0.0,22.0
2009/9/24,0.0,21.7
2009/9/25,0.0,21.5
2009/9/26,0.0,21.7
2009/9/27,0.0,21.1
2009/9/28,0.0,21.8
2009/9/29,1.0,20.6
2009/9/30,10.5,18.5
2009/10/1,0.5,19.4
2009/10/2,11.0,17.9
2009/10/3,8.0,20.2
2009/10/4,0.0,20.4
2009/10/5,8.5,17.2
2009/10/6,16.5,16.7
2009/10/7,27.5,16.1
2009/10/8,98.5,19.7
2009/10/9,0.0,19.4
2009/10/10,0.0,15.0
2009/10/11,0.0,16.6
2009/10/12,0.0,16.5
2009/10/13,0.0,17.2
2009/10/14,7.0,16.2
2009/10/15,0.0,16.2
2009/10/16,0.0,15.7
2009/10/17,0.0,15.9
2009/10/18,0.0,17.5
2009/10/19,0.0,16.7
2009/10/20,0.0,17.5
2009/10/21,0.0,16.3
2009/10/22,0.0,15.3
2009/10/23,0.0,15.7
2009/10/24,4.5,14.5
2009/10/25,1.5,13.0
2009/10/26,53.5,13.9
2009/10/27,1.0,17.2
2009/10/28,0.0,15.3
2009/10/29,0.0,15.6
2009/10/30,0.0,16.5
2009/10/31,0.0,15.4
2009/11/1,3.0,17.0
2009/11/2,1.5,11.5
2009/11/3,0.5,8.2
2009/11/4,0.0,8.6
2009/11/5,0.0,10.7
2010/3/20,0.0,13.6
2010/3/21,0.0,13.7
2010/3/22,0.0,8.2
2010/3/23,2.0,9.8
